Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
Nodes keep percentage is :  1.0
** Start training **
Epoch #0 cost=0.000050
Epoch #1 cost=0.000050
Epoch #2 cost=0.000051
Epoch #3 cost=0.000051
Epoch #4 cost=0.000051
Epoch #5 cost=0.000050
Epoch #6 cost=0.000050
Epoch #7 cost=0.000050
Epoch #8 cost=0.000050
Epoch #9 cost=0.000050
Epoch #10 cost=0.000050
Epoch #11 cost=0.000050
Epoch #12 cost=0.000050
Epoch #13 cost=0.000050
Epoch #14 cost=0.000049
Epoch #15 cost=0.000049
Epoch #16 cost=0.000049
Epoch #17 cost=0.000049
Epoch #18 cost=0.000049
Epoch #19 cost=0.000049
Epoch #20 cost=0.000049
Epoch #21 cost=0.000049
Epoch #22 cost=0.000049
Epoch #23 cost=0.000048
Epoch #24 cost=0.000048
Epoch #25 cost=0.000048
Epoch #26 cost=0.000048
Epoch #27 cost=0.000048
Epoch #28 cost=0.000048
Epoch #29 cost=0.000048
Epoch #30 cost=0.000048
Epoch #31 cost=0.000048
Epoch #32 cost=0.000048
Epoch #33 cost=0.000047
Epoch #34 cost=0.000047
Epoch #35 cost=0.000047
Epoch #36 cost=0.000047
Epoch #37 cost=0.000047
Epoch #38 cost=0.000047
Epoch #39 cost=0.000047
** Start training **
Epoch #0 cost=0.000050
Epoch #1 cost=0.000051
Epoch #2 cost=0.000051
Epoch #3 cost=0.000051
Epoch #4 cost=0.000051
Epoch #5 cost=0.000051
Epoch #6 cost=0.000051
Epoch #7 cost=0.000051
Epoch #8 cost=0.000051
Epoch #9 cost=0.000051
Epoch #10 cost=0.000051
Epoch #11 cost=0.000051
Epoch #12 cost=0.000051
Epoch #13 cost=0.000051
Epoch #14 cost=0.000051
Epoch #15 cost=0.000051
Epoch #16 cost=0.000050
Epoch #17 cost=0.000050
Epoch #18 cost=0.000050
Epoch #19 cost=0.000050
Epoch #20 cost=0.000050
Epoch #21 cost=0.000050
Epoch #22 cost=0.000050
Epoch #23 cost=0.000050
Epoch #24 cost=0.000050
Epoch #25 cost=0.000050
Epoch #26 cost=0.000050
Epoch #27 cost=0.000049
Epoch #28 cost=0.000049
Epoch #29 cost=0.000049
Epoch #30 cost=0.000049
Epoch #31 cost=0.000049
Epoch #32 cost=0.000049
Epoch #33 cost=0.000049
Epoch #34 cost=0.000049
Epoch #35 cost=0.000049
Epoch #36 cost=0.000049
Epoch #37 cost=0.000049
Epoch #38 cost=0.000048
Epoch #39 cost=0.000048
** Start training **
Epoch #0 cost=0.000050
Epoch #1 cost=0.000051
Epoch #2 cost=0.000051
Epoch #3 cost=0.000051
Epoch #4 cost=0.000051
Epoch #5 cost=0.000051
Epoch #6 cost=0.000051
Epoch #7 cost=0.000051
Epoch #8 cost=0.000050
Epoch #9 cost=0.000050
Epoch #10 cost=0.000050
Epoch #11 cost=0.000050
Epoch #12 cost=0.000050
Epoch #13 cost=0.000050
Epoch #14 cost=0.000050
Epoch #15 cost=0.000050
Epoch #16 cost=0.000050
Epoch #17 cost=0.000049
Epoch #18 cost=0.000049
Epoch #19 cost=0.000049
Epoch #20 cost=0.000049
Epoch #21 cost=0.000049
Epoch #22 cost=0.000049
Epoch #23 cost=0.000049
Epoch #24 cost=0.000049
Epoch #25 cost=0.000049
Epoch #26 cost=0.000048
Epoch #27 cost=0.000048
Epoch #28 cost=0.000048
Epoch #29 cost=0.000048
Epoch #30 cost=0.000048
Epoch #31 cost=0.000048
Epoch #32 cost=0.000048
Epoch #33 cost=0.000048
Epoch #34 cost=0.000048
Epoch #35 cost=0.000048
Epoch #36 cost=0.000047
Epoch #37 cost=0.000047
Epoch #38 cost=0.000047
Epoch #39 cost=0.000047
** Start training **
Epoch #0 cost=0.000050
Epoch #1 cost=0.000050
Epoch #2 cost=0.000050
Epoch #3 cost=0.000050
Epoch #4 cost=0.000050
Epoch #5 cost=0.000050
Epoch #6 cost=0.000050
Epoch #7 cost=0.000050
Epoch #8 cost=0.000050
Epoch #9 cost=0.000050
Epoch #10 cost=0.000050
Epoch #11 cost=0.000050
Epoch #12 cost=0.000050
Epoch #13 cost=0.000050
Epoch #14 cost=0.000049
Epoch #15 cost=0.000049
Epoch #16 cost=0.000049
Epoch #17 cost=0.000049
Epoch #18 cost=0.000049
Epoch #19 cost=0.000049
Epoch #20 cost=0.000049
Epoch #21 cost=0.000049
Epoch #22 cost=0.000049
Epoch #23 cost=0.000048
Epoch #24 cost=0.000048
Epoch #25 cost=0.000048
Epoch #26 cost=0.000048
Epoch #27 cost=0.000048
Epoch #28 cost=0.000048
Epoch #29 cost=0.000048
Epoch #30 cost=0.000048
Epoch #31 cost=0.000048
Epoch #32 cost=0.000047
Epoch #33 cost=0.000047
Epoch #34 cost=0.000047
Epoch #35 cost=0.000047
Epoch #36 cost=0.000047
Epoch #37 cost=0.000047
Epoch #38 cost=0.000047
Epoch #39 cost=0.000047
** Start training **
Epoch #0 cost=0.000050
Epoch #1 cost=0.000051
Epoch #2 cost=0.000051
Epoch #3 cost=0.000051
Epoch #4 cost=0.000051
Epoch #5 cost=0.000051
Epoch #6 cost=0.000051
Epoch #7 cost=0.000051
Epoch #8 cost=0.000051
Epoch #9 cost=0.000051
Epoch #10 cost=0.000051
Epoch #11 cost=0.000051
Epoch #12 cost=0.000050
Epoch #13 cost=0.000050
Epoch #14 cost=0.000050
Epoch #15 cost=0.000050
Epoch #16 cost=0.000050
Epoch #17 cost=0.000050
Epoch #18 cost=0.000050
Epoch #19 cost=0.000050
Epoch #20 cost=0.000050
Epoch #21 cost=0.000049
Epoch #22 cost=0.000049
Epoch #23 cost=0.000049
Epoch #24 cost=0.000049
Epoch #25 cost=0.000049
Epoch #26 cost=0.000049
Epoch #27 cost=0.000049
Epoch #28 cost=0.000049
Epoch #29 cost=0.000049
Epoch #30 cost=0.000049
Epoch #31 cost=0.000048
Epoch #32 cost=0.000048
Epoch #33 cost=0.000048
Epoch #34 cost=0.000048
Epoch #35 cost=0.000048
Epoch #36 cost=0.000048
Epoch #37 cost=0.000048
Epoch #38 cost=0.000048
Epoch #39 cost=0.000048
** Start training **
Epoch #0 cost=0.000050
Epoch #1 cost=0.000051
Epoch #2 cost=0.000051
Epoch #3 cost=0.000051
Epoch #4 cost=0.000051
Epoch #5 cost=0.000051
Epoch #6 cost=0.000051
Epoch #7 cost=0.000051
Epoch #8 cost=0.000051
Epoch #9 cost=0.000051
Epoch #10 cost=0.000051
Epoch #11 cost=0.000051
Epoch #12 cost=0.000051
Epoch #13 cost=0.000051
Epoch #14 cost=0.000051
Epoch #15 cost=0.000050
Epoch #16 cost=0.000050
Epoch #17 cost=0.000050
Epoch #18 cost=0.000050
Epoch #19 cost=0.000050
Epoch #20 cost=0.000050
Epoch #21 cost=0.000050
Epoch #22 cost=0.000050
Epoch #23 cost=0.000050
Epoch #24 cost=0.000049
Epoch #25 cost=0.000049
Epoch #26 cost=0.000049
Epoch #27 cost=0.000049
Epoch #28 cost=0.000049
Epoch #29 cost=0.000049
Epoch #30 cost=0.000049
Epoch #31 cost=0.000049
Epoch #32 cost=0.000049
Epoch #33 cost=0.000048
Epoch #34 cost=0.000048
Epoch #35 cost=0.000048
Epoch #36 cost=0.000048
Epoch #37 cost=0.000048
Epoch #38 cost=0.000048
Epoch #39 cost=0.000048
** Start training **
Epoch #0 cost=0.000050
Epoch #1 cost=0.000051
Epoch #2 cost=0.000051
Epoch #3 cost=0.000051
Epoch #4 cost=0.000051
Epoch #5 cost=0.000051
Epoch #6 cost=0.000051
Epoch #7 cost=0.000051
Epoch #8 cost=0.000051
Epoch #9 cost=0.000051
Epoch #10 cost=0.000051
Epoch #11 cost=0.000051
Epoch #12 cost=0.000050
Epoch #13 cost=0.000050
Epoch #14 cost=0.000050
Epoch #15 cost=0.000050
Epoch #16 cost=0.000050
Epoch #17 cost=0.000050
Epoch #18 cost=0.000050
Epoch #19 cost=0.000050
Epoch #20 cost=0.000049
Epoch #21 cost=0.000049
Epoch #22 cost=0.000049
Epoch #23 cost=0.000049
Epoch #24 cost=0.000049
Epoch #25 cost=0.000049
Epoch #26 cost=0.000049
Epoch #27 cost=0.000048
Epoch #28 cost=0.000048
Epoch #29 cost=0.000048
Epoch #30 cost=0.000048
Epoch #31 cost=0.000048
Epoch #32 cost=0.000048
Epoch #33 cost=0.000048
Epoch #34 cost=0.000048
Epoch #35 cost=0.000048
Epoch #36 cost=0.000047
Epoch #37 cost=0.000047
Epoch #38 cost=0.000047
Epoch #39 cost=0.000047
** Start training **
Epoch #0 cost=0.000050
Epoch #1 cost=0.000051
Epoch #2 cost=0.000051
Epoch #3 cost=0.000051
Epoch #4 cost=0.000051
Epoch #5 cost=0.000051
Epoch #6 cost=0.000050
Epoch #7 cost=0.000050
Epoch #8 cost=0.000050
Epoch #9 cost=0.000050
Epoch #10 cost=0.000050
Epoch #11 cost=0.000050
Epoch #12 cost=0.000050
Epoch #13 cost=0.000050
Epoch #14 cost=0.000049
Epoch #15 cost=0.000049
Epoch #16 cost=0.000049
Epoch #17 cost=0.000049
Epoch #18 cost=0.000049
Epoch #19 cost=0.000049
Epoch #20 cost=0.000049
Epoch #21 cost=0.000048
Epoch #22 cost=0.000048
Epoch #23 cost=0.000048
Epoch #24 cost=0.000048
Epoch #25 cost=0.000048
Epoch #26 cost=0.000048
Epoch #27 cost=0.000048
Epoch #28 cost=0.000048
Epoch #29 cost=0.000047
Epoch #30 cost=0.000047
Epoch #31 cost=0.000047
Epoch #32 cost=0.000047
Epoch #33 cost=0.000047
Epoch #34 cost=0.000047
Epoch #35 cost=0.000047
Epoch #36 cost=0.000047
Epoch #37 cost=0.000047
Epoch #38 cost=0.000046
Epoch #39 cost=0.000046
** Start training **
Epoch #0 cost=0.000050
Epoch #1 cost=0.000051
Epoch #2 cost=0.000051
Epoch #3 cost=0.000052
Epoch #4 cost=0.000052
Epoch #5 cost=0.000052
Epoch #6 cost=0.000052
Epoch #7 cost=0.000051
Epoch #8 cost=0.000051
Epoch #9 cost=0.000051
Epoch #10 cost=0.000051
Epoch #11 cost=0.000051
Epoch #12 cost=0.000051
Epoch #13 cost=0.000051
Epoch #14 cost=0.000051
Epoch #15 cost=0.000051
Epoch #16 cost=0.000051
Epoch #17 cost=0.000051
Epoch #18 cost=0.000050
Epoch #19 cost=0.000050
Epoch #20 cost=0.000050
Epoch #21 cost=0.000050
Epoch #22 cost=0.000050
Epoch #23 cost=0.000050
Epoch #24 cost=0.000050
Epoch #25 cost=0.000050
Epoch #26 cost=0.000050
Epoch #27 cost=0.000049
Epoch #28 cost=0.000049
Epoch #29 cost=0.000049
Epoch #30 cost=0.000049
Epoch #31 cost=0.000049
Epoch #32 cost=0.000049
Epoch #33 cost=0.000049
Epoch #34 cost=0.000049
Epoch #35 cost=0.000049
Epoch #36 cost=0.000048
Epoch #37 cost=0.000048
Epoch #38 cost=0.000048
Epoch #39 cost=0.000048
** Start training **
Epoch #0 cost=0.000045
Epoch #1 cost=0.000044
Epoch #2 cost=0.000044
Epoch #3 cost=0.000044
Epoch #4 cost=0.000044
Epoch #5 cost=0.000044
Epoch #6 cost=0.000044
Epoch #7 cost=0.000044
Epoch #8 cost=0.000044
Epoch #9 cost=0.000043
Epoch #10 cost=0.000043
Epoch #11 cost=0.000043
Epoch #12 cost=0.000043
Epoch #13 cost=0.000043
Epoch #14 cost=0.000043
Epoch #15 cost=0.000043
Epoch #16 cost=0.000043
Epoch #17 cost=0.000043
Epoch #18 cost=0.000043
Epoch #19 cost=0.000043
Epoch #20 cost=0.000042
Epoch #21 cost=0.000042
Epoch #22 cost=0.000042
Epoch #23 cost=0.000042
Epoch #24 cost=0.000042
Epoch #25 cost=0.000042
Epoch #26 cost=0.000042
Epoch #27 cost=0.000042
Epoch #28 cost=0.000042
Epoch #29 cost=0.000042
Epoch #30 cost=0.000042
Epoch #31 cost=0.000042
